title,vote_count,genres,popularity,id,vote_average,Weighted_Rating
The Shawshank Redemption,8358.0,"['Drama', 'Crime']",51.645403,278,8.5,8.357745897562356
The Godfather,6024.0,"['Drama', 'Crime']",41.109264,238,8.5,8.306333529168201
The Dark Knight,12269.0,"['Drama', 'Action', 'Crime', 'Thriller']",123.167259,155,8.3,8.208376126219653
Fight Club,9678.0,['Drama'],63.869599,550,8.3,8.184899320744485
Pulp Fiction,8670.0,"['Thriller', 'Crime']",140.950236,680,8.3,8.172155308805825
Forrest Gump,8147.0,"['Comedy', 'Drama', 'Romance']",48.307194,13,8.2,8.069421038499968
Schindler's List,4436.0,"['Drama', 'History', 'War']",41.725123,424,8.3,8.061006556749126
Whiplash,4376.0,['Drama'],64.29999,244786,8.3,8.058025349556807
Spirited Away,3968.0,"['Fantasy', 'Adventure', 'Animation', 'Family']",41.048867,129,8.3,8.03559789444985
The Empire Strikes Back,5998.0,"['Adventure', 'Action', 'Science Fiction']",19.470959,1891,8.2,8.025793210722673
Inception,14075.0,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",29.108149,27205,8.1,8.025763452434228
Life Is Beautiful,3643.0,"['Comedy', 'Drama']",39.39497,637,8.3,8.01452095446854
The Intouchables,5410.0,"['Drama', 'Comedy']",16.086919,77338,8.2,8.008265217551031
Interstellar,11187.0,"['Adventure', 'Drama', 'Science Fiction']",32.213481,157336,8.1,8.007314510917153
The Godfather: Part II,3418.0,"['Drama', 'Crime']",36.629307,240,8.3,7.997845776575348
The Lord of the Rings: The Return of the King,8226.0,"['Adventure', 'Fantasy', 'Action']",29.324358,122,8.1,7.975623779603721
Leon: The Professional,4293.0,"['Thriller', 'Crime', 'Drama']",20.477329,101,8.2,7.962957886898294
One Flew Over the Cuckoo's Nest,3001.0,['Drama'],35.529554,510,8.3,7.9611650455220495
The Green Mile,4166.0,"['Fantasy', 'Drama', 'Crime']",19.96678,497,8.2,7.956413463340921
Star Wars,6778.0,"['Adventure', 'Action', 'Science Fiction']",42.149697,11,8.1,7.9506519594243255
Se7en,5915.0,"['Crime', 'Mystery', 'Thriller']",18.45743,807,8.1,7.930351540615567
GoodFellas,3211.0,"['Drama', 'Crime']",15.424092,769,8.2,7.892593122460421
Psycho,2405.0,"['Drama', 'Horror', 'Thriller']",36.826309,539,8.3,7.890032381602056
The Lord of the Rings: The Fellowship of the Ring,8892.0,"['Adventure', 'Fantasy', 'Action']",32.070725,120,8.0,7.889159546576049
American History X,3120.0,['Drama'],18.157166,73,8.2,7.884721984065344
The Silence of the Lambs,4549.0,"['Crime', 'Drama', 'Thriller']",4.307222,274,8.1,7.883845460840505
The Lord of the Rings: The Two Towers,7641.0,"['Adventure', 'Fantasy', 'Action']",29.423537,121,8.0,7.8719878552778
Memento,4168.0,"['Mystery', 'Thriller']",15.450789,77,8.1,7.865950006816218
The Shining,3890.0,"['Horror', 'Thriller']",19.611589,694,8.1,7.850902389308104
Reservoir Dogs,3821.0,"['Crime', 'Thriller']",12.22034,500,8.1,7.84686296859418
Back to the Future,6239.0,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",25.778509,105,8.0,7.845092451875954
The Imitation Game,5895.0,"['History', 'Drama', 'Thriller', 'War']",31.59594,205596,8.0,7.8366727652659565
The Lion King,5520.0,"['Family', 'Animation', 'Drama']",21.605761,8587,8.0,7.826385947492146
The Usual Suspects,3334.0,"['Drama', 'Crime', 'Thriller']",16.302466,629,8.1,7.814145947815348
Guardians of the Galaxy,10014.0,"['Action', 'Science Fiction', 'Adventure']",53.291601,118340,7.9,7.805216494196807
The Grand Budapest Hotel,4644.0,"['Comedy', 'Drama']",14.442048,120467,8.0,7.796435984909066
The Matrix,9079.0,"['Action', 'Science Fiction']",33.366332,603,7.9,7.795900549917822
The Prestige,4510.0,"['Drama', 'Mystery', 'Thriller']",16.94556,1124,8.0,7.79091867543856
Room,2838.0,"['Drama', 'Thriller']",12.443291,264644,8.1,7.7708135487066725
Dead Poets Society,2786.0,['Drama'],19.905716,207,8.1,7.765497494213738
12 Angry Men,2130.0,['Drama'],16.503959,389,8.2,7.762988272764523
The Wolf of Wall Street,6768.0,"['Crime', 'Drama', 'Comedy']",16.382422,106646,7.9,7.762496796913114
Inside Out,6737.0,"['Drama', 'Comedy', 'Animation', 'Family']",23.985587,150540,7.9,7.76190237503392
Inglourious Basterds,6598.0,"['Drama', 'Action', 'Thriller', 'War']",16.89564,16869,7.9,7.759172629602992
Harry Potter and the Deathly Hallows: Part 2,6141.0,"['Family', 'Fantasy', 'Adventure']",24.990737,12445,7.9,7.74938432416247
Howl's Moving Castle,2049.0,"['Fantasy', 'Animation', 'Adventure']",16.136048,4935,8.2,7.748732151175285
Taxi Driver,2632.0,"['Crime', 'Drama']",14.092713,103,8.1,7.748695998489313
Princess Mononoke,2041.0,"['Adventure', 'Fantasy', 'Animation']",17.166725,128,8.2,7.74727350762353
Gone Girl,6023.0,"['Mystery', 'Thriller', 'Drama']",154.801009,210577,7.9,7.74663186175751
Gladiator,5566.0,"['Action', 'Drama', 'Adventure']",23.186667,98,7.9,7.734950321894707
A Clockwork Orange,3432.0,"['Science Fiction', 'Drama']",17.112594,185,8.0,7.732618192283558
Saving Private Ryan,5148.0,"['Drama', 'History', 'War']",21.758054,857,7.9,7.7225908153651455
Dilwale Dulhania Le Jayenge,661.0,"['Comedy', 'Drama', 'Romance']",34.457024,19404,9.1,7.720001763806609
"The Good, the Bad and the Ugly",2371.0,['Western'],16.788787,429,8.1,7.716007818669603
Django Unchained,10297.0,"['Drama', 'Western']",19.785025,68718,7.8,7.7117605005468475
City of God,1852.0,"['Drama', 'Crime']",14.95927,598,8.2,7.709843364553032
Return of the Jedi,4763.0,"['Adventure', 'Action', 'Science Fiction']",14.586087,1892,7.9,7.709448129953481
La La Land,4745.0,"['Comedy', 'Drama', 'Music', 'Romance']",19.681686,313369,7.9,7.708785852745364
